Portal,updated_at,name,plan_type,effective_price
Falabella,2025-08-01 23:00:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 23:00:02,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 23:00:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 23:00:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 23:00:02,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 23:00:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 23:30:02,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 23:30:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 23:30:02,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 23:30:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 23:30:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 23:30:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 23:30:02,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 23:30:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-02 00:00:05,Bci,Full Cobertura,47988.0
Falabella,2025-08-02 00:00:05,Cardif,Full Cobertura,30849.0
Falabella,2025-08-02 00:00:05,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-02 00:00:05,Fid,Full Cobertura,33151.0
Falabella,2025-08-02 00:00:05,Hdi,Full Cobertura,35869.0
Falabella,2025-08-02 00:00:05,Sura,Full Cobertura,34816.0
Falabella,2025-08-02 00:00:05,Zenit,Full Cobertura,44120.0
Falabella,2025-08-02 00:00:05,Zurich,Full Cobertura,32172.0
Falabella,2025-08-02 00:30:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-02 00:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-02 00:30:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-02 00:30:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-02 00:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-02 00:30:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-02 00:30:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-02 00:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-02 01:00:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-02 01:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-02 01:00:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-02 01:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-02 01:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-02 01:00:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-02 01:00:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-02 01:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-02 01:30:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-02 01:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-02 01:30:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-02 01:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-02 01:30:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-02 01:30:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-02 01:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-02 02:00:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-02 02:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-02 02:00:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-02 02:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-02 02:00:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-02 02:00:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-02 02:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-02 02:30:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-02 02:30:01,Cardif,Full Cobertura,34505.0
Falabella,2025-08-02 02:30:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-02 02:30:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-02 02:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-02 02:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-02 03:00:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-02 03:00:01,Cardif,Full Cobertura,34505.0
Falabella,2025-08-02 03:00:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-02 03:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-02 03:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-02 03:00:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-02 03:00:01,Zenit,Full Cobertura,44120.0
