date,portal,insurer,runs_present,runs_total,presence_pct,below_threshold
2025-08-11,Santander,Mapfre,39,44,88.6364,False
2025-08-11,Santander,REALE,39,44,88.6364,False
2025-08-11,Santander,Sura,43,44,97.7273,False
2025-08-11,Santander,ZURICH,39,44,88.6364,False
2025-08-11,Santander,Zenit,34,44,77.2727,True
2025-08-12,Falabella,Bci,38,48,79.1667,True
2025-08-12,Falabella,Cardif,48,48,100.0,False
2025-08-12,Falabella,Consorcio,47,48,97.9167,False
2025-08-12,Falabella,Fid,45,48,93.75,False
2025-08-12,Falabella,Hdi,48,48,100.0,False
2025-08-12,Falabella,Sura,47,48,97.9167,False
2025-08-12,Falabella,Zenit,38,48,79.1667,True
2025-08-12,Falabella,Zurich,47,48,97.9167,False
2025-08-12,Santander,Consorcio,36,36,100.0,False
2025-08-12,Santander,Fid,34,36,94.4444,False
2025-08-12,Santander,Hdi,34,36,94.4444,False
2025-08-12,Santander,Mapfre,36,36,100.0,False
2025-08-12,Santander,REALE,36,36,100.0,False
2025-08-12,Santander,Sura,36,36,100.0,False
2025-08-12,Santander,ZURICH,36,36,100.0,False
2025-08-12,Santander,Zenit,30,36,83.3333,False
2025-08-13,Falabella,Bci,48,48,100.0,False
2025-08-13,Falabella,Cardif,48,48,100.0,False
2025-08-13,Falabella,Consorcio,48,48,100.0,False
2025-08-13,Falabella,Fid,30,48,62.5,True
2025-08-13,Falabella,Hdi,48,48,100.0,False
2025-08-13,Falabella,Sura,46,48,95.8333,False
2025-08-13,Falabella,Zenit,47,48,97.9167,False
2025-08-13,Falabella,Zurich,44,48,91.6667,False
2025-08-13,Santander,Consorcio,45,46,97.8261,False
2025-08-13,Santander,Fid,31,46,67.3913,True
2025-08-13,Santander,Hdi,46,46,100.0,False
2025-08-13,Santander,Mapfre,46,46,100.0,False
2025-08-13,Santander,REALE,46,46,100.0,False
2025-08-13,Santander,Sura,46,46,100.0,False
2025-08-13,Santander,ZURICH,46,46,100.0,False
2025-08-13,Santander,Zenit,46,46,100.0,False
2025-08-14,Falabella,Bci,47,48,97.9167,False
2025-08-14,Falabella,Cardif,46,48,95.8333,False
2025-08-14,Falabella,Consorcio,46,48,95.8333,False
2025-08-14,Falabella,Fid,48,48,100.0,False
2025-08-14,Falabella,Hdi,47,48,97.9167,False
2025-08-14,Falabella,Sura,47,48,97.9167,False
2025-08-14,Falabella,Zenit,47,48,97.9167,False
2025-08-14,Falabella,Zurich,47,48,97.9167,False
2025-08-14,Santander,Consorcio,43,44,97.7273,False
2025-08-14,Santander,Fid,43,44,97.7273,False
2025-08-14,Santander,Hdi,44,44,100.0,False
2025-08-14,Santander,Mapfre,44,44,100.0,False
2025-08-14,Santander,REALE,44,44,100.0,False
2025-08-14,Santander,Sura,44,44,100.0,False
2025-08-14,Santander,ZURICH,42,44,95.4545,False
2025-08-14,Santander,Zenit,44,44,100.0,False
2025-08-15,Falabella,Bci,48,48,100.0,False
2025-08-15,Falabella,Cardif,48,48,100.0,False
2025-08-15,Falabella,Consorcio,9,48,18.75,True
2025-08-15,Falabella,Fid,46,48,95.8333,False
2025-08-15,Falabella,Hdi,48,48,100.0,False
2025-08-15,Falabella,Sura,43,48,89.5833,False
2025-08-15,Falabella,Zenit,48,48,100.0,False
2025-08-15,Falabella,Zurich,48,48,100.0,False
2025-08-15,Santander,Consorcio,42,48,87.5,False
2025-08-15,Santander,Fid,43,48,89.5833,False
2025-08-15,Santander,Hdi,44,48,91.6667,False
2025-08-15,Santander,Mapfre,47,48,97.9167,False
2025-08-15,Santander,REALE,21,48,43.75,True
2025-08-15,Santander,Sura,48,48,100.0,False
2025-08-15,Santander,ZURICH,46,48,95.8333,False
2025-08-15,Santander,Zenit,45,48,93.75,False
2025-08-16,Falabella,Bci,48,48,100.0,False
2025-08-16,Falabella,Cardif,47,48,97.9167,False
2025-08-16,Falabella,Fid,46,48,95.8333,False
2025-08-16,Falabella,Hdi,48,48,100.0,False
2025-08-16,Falabella,Sura,46,48,95.8333,False
2025-08-16,Falabella,Zenit,48,48,100.0,False
2025-08-16,Falabella,Zurich,48,48,100.0,False
2025-08-16,Santander,Consorcio,48,48,100.0,False
2025-08-16,Santander,Fid,44,48,91.6667,False
2025-08-16,Santander,Hdi,45,48,93.75,False
2025-08-16,Santander,Mapfre,48,48,100.0,False
2025-08-16,Santander,Sura,48,48,100.0,False
2025-08-16,Santander,ZURICH,47,48,97.9167,False
2025-08-16,Santander,Zenit,48,48,100.0,False
2025-08-17,Falabella,Bci,46,48,95.8333,False
2025-08-17,Falabella,Cardif,48,48,100.0,False
2025-08-17,Falabella,Fid,47,48,97.9167,False
2025-08-17,Falabella,Hdi,48,48,100.0,False
2025-08-17,Falabella,Sura,48,48,100.0,False
2025-08-17,Falabella,Zenit,46,48,95.8333,False
2025-08-17,Falabella,Zurich,48,48,100.0,False
2025-08-17,Santander,Consorcio,48,48,100.0,False
2025-08-17,Santander,Fid,46,48,95.8333,False
2025-08-17,Santander,Hdi,43,48,89.5833,False
2025-08-17,Santander,Mapfre,48,48,100.0,False
2025-08-17,Santander,Sura,48,48,100.0,False
2025-08-17,Santander,ZURICH,48,48,100.0,False
2025-08-17,Santander,Zenit,47,48,97.9167,False
2025-08-18,Falabella,Bci,47,48,97.9167,False
2025-08-18,Falabella,Cardif,48,48,100.0,False
2025-08-18,Falabella,Consorcio,13,48,27.0833,True
2025-08-18,Falabella,Fid,47,48,97.9167,False
2025-08-18,Falabella,Hdi,48,48,100.0,False
2025-08-18,Falabella,Sura,45,48,93.75,False
2025-08-18,Falabella,Zenit,47,48,97.9167,False
2025-08-18,Falabella,Zurich,48,48,100.0,False
2025-08-18,Santander,Consorcio,48,48,100.0,False
2025-08-18,Santander,Fid,46,48,95.8333,False
2025-08-18,Santander,Hdi,42,48,87.5,False
2025-08-18,Santander,Mapfre,48,48,100.0,False
2025-08-18,Santander,Sura,48,48,100.0,False
2025-08-18,Santander,ZURICH,48,48,100.0,False
2025-08-18,Santander,Zenit,48,48,100.0,False
2025-08-19,Falabella,Bci,42,43,97.6744,False
2025-08-19,Falabella,Cardif,43,43,100.0,False
