run_id,portal,scraped_at,insurers_returned,rows,status
250,Falabella,2025-08-06 00:30:01,8,8,success
251,Falabella,2025-08-06 01:00:02,8,8,success
252,Falabella,2025-08-06 01:30:02,8,8,success
253,Falabella,2025-08-06 02:00:02,6,6,success
254,Falabella,2025-08-06 02:30:02,8,8,success
255,Falabella,2025-08-06 03:00:02,6,6,success
256,Falabella,2025-08-06 03:30:02,7,7,success
257,Falabella,2025-08-06 04:00:02,8,8,success
258,Falabella,2025-08-06 04:30:01,7,7,success
259,Falabella,2025-08-06 05:00:01,8,8,success
260,Falabella,2025-08-06 05:30:02,8,8,success
261,Falabella,2025-08-06 06:00:02,8,8,success
262,Falabella,2025-08-06 06:30:01,8,8,success
263,Falabella,2025-08-06 07:00:01,8,8,success
264,Falabella,2025-08-06 07:30:01,7,7,success
265,Falabella,2025-08-06 08:00:01,8,8,success
266,Falabella,2025-08-06 08:30:01,8,8,success
267,Falabella,2025-08-06 09:00:01,7,7,success
268,Falabella,2025-08-06 09:30:02,8,8,success
269,Falabella,2025-08-06 10:00:02,8,8,success
270,Falabella,2025-08-06 10:30:02,8,8,success
271,Falabella,2025-08-06 11:00:02,8,8,success
272,Falabella,2025-08-06 11:30:01,8,8,success
273,Falabella,2025-08-06 12:00:01,8,8,success
274,Falabella,2025-08-06 12:30:01,8,8,success
275,Falabella,2025-08-06 13:00:01,8,8,success
276,Falabella,2025-08-06 13:30:01,7,7,success
277,Falabella,2025-08-06 14:00:02,8,8,success
278,Falabella,2025-08-06 14:30:02,8,8,success
279,Falabella,2025-08-06 15:00:02,8,8,success
280,Falabella,2025-08-06 15:30:02,7,7,success
281,Falabella,2025-08-06 16:00:02,8,8,success
282,Falabella,2025-08-06 16:30:01,8,8,success
283,Falabella,2025-08-06 17:00:01,8,8,success
284,Falabella,2025-08-06 17:30:01,8,8,success
285,Falabella,2025-08-06 18:00:01,7,7,success
286,Falabella,2025-08-06 18:30:02,6,6,success
287,Falabella,2025-08-06 19:00:02,8,8,success
288,Falabella,2025-08-06 19:30:01,7,7,success
289,Falabella,2025-08-06 20:00:01,8,8,success
290,Falabella,2025-08-06 20:30:01,8,8,success
291,Falabella,2025-08-06 21:00:01,7,7,success
292,Falabella,2025-08-06 21:30:01,8,8,success
293,Falabella,2025-08-06 22:00:01,5,5,success
294,Falabella,2025-08-06 22:30:01,8,8,success
295,Falabella,2025-08-06 23:00:01,8,8,success
296,Falabella,2025-08-06 23:30:02,8,8,success
297,Falabella,2025-08-07 00:00:02,8,8,success
298,Falabella,2025-08-07 00:30:02,7,7,success
299,Falabella,2025-08-07 01:00:02,8,8,success
300,Falabella,2025-08-07 01:30:01,8,8,success
301,Falabella,2025-08-07 02:00:01,8,8,success
302,Falabella,2025-08-07 02:30:01,5,5,success
303,Falabella,2025-08-07 03:00:01,6,6,success
