date,portal,insurer,mean,median,std,p10,p90,min_price,max_price,n_obs,cv
2025-08-12,Falabella,Zurich,24965.7,24675.0,475.21,24675.0,25726.0,24675.0,25726.0,47,1.9035
2025-08-12,Santander,Consorcio,51196.94,51202.0,6.82,51188.0,51202.0,51188.0,51202.0,36,0.0133
2025-08-12,Santander,Fid,42875.76,42880.0,5.82,42868.0,42880.0,42868.0,42880.0,34,0.0136
2025-08-12,Santander,Hdi,38480.79,38485.0,5.43,38474.0,38485.0,38474.0,38485.0,34,0.0141
2025-08-12,Santander,Mapfre,37848.03,37852.0,5.36,37841.0,37852.0,37841.0,37852.0,36,0.0142
2025-08-12,Santander,REALE,37283.39,37287.0,4.87,37277.0,37287.0,37277.0,37287.0,36,0.0131
2025-08-12,Santander,Sura,25567.47,25570.0,3.41,25563.0,25570.0,25563.0,25570.0,36,0.0133
2025-08-12,Santander,ZURICH,31856.0,31536.0,564.47,31531.5,32820.0,31527.0,32820.0,36,1.7719
2025-08-12,Santander,Zenit,32323.7,32530.0,1118.06,32521.0,32530.0,26404.0,32530.0,30,3.4589
2025-08-13,Falabella,Bci,38862.02,38865.0,4.94,38854.0,38865.0,38854.0,38865.0,48,0.0127
2025-08-13,Falabella,Cardif,20410.38,20412.0,2.69,20406.0,20412.0,20406.0,20412.0,48,0.0132
2025-08-13,Falabella,Consorcio,33032.56,33035.0,4.04,33026.0,33035.0,33026.0,33035.0,48,0.0122
2025-08-13,Falabella,Fid,26520.53,26524.0,4.03,26516.0,26524.0,26516.0,26524.0,30,0.0152
2025-08-13,Falabella,Hdi,30400.56,30403.0,4.04,30394.0,30403.0,30394.0,30403.0,48,0.0133
2025-08-13,Falabella,Sura,27923.13,27072.0,1873.36,27065.0,30001.0,27065.0,34399.0,46,6.709
2025-08-13,Falabella,Zenit,35728.45,35731.0,4.41,35721.0,35731.0,35721.0,35731.0,47,0.0123
2025-08-13,Falabella,Zurich,24680.64,24683.0,3.69,24675.0,24683.0,24675.0,24683.0,44,0.015
2025-08-13,Santander,Consorcio,51213.0,51217.0,6.71,51202.0,51217.0,51202.0,51217.0,45,0.0131
2025-08-13,Santander,Fid,42887.55,42893.0,6.52,42880.0,42893.0,42880.0,42893.0,31,0.0152
2025-08-13,Santander,Hdi,38492.89,38496.0,5.01,38485.0,38496.0,38485.0,38496.0,46,0.013
2025-08-13,Santander,Mapfre,37859.89,37863.0,5.01,37852.0,37863.0,37852.0,37863.0,46,0.0132
2025-08-13,Santander,REALE,37294.89,37298.0,5.01,37287.0,37298.0,37287.0,37298.0,46,0.0134
2025-08-13,Santander,Sura,25575.02,25577.0,3.19,25570.0,25577.0,25570.0,25577.0,46,0.0125
2025-08-13,Santander,ZURICH,31598.72,31545.0,267.38,31536.0,31545.0,31536.0,32839.0,46,0.8462
2025-08-13,Santander,Zenit,32537.17,32540.0,4.55,32530.0,32540.0,32530.0,32540.0,46,0.014
2025-08-14,Falabella,Bci,33359.17,32397.0,2328.16,32388.0,38865.0,32388.0,38865.0,47,6.9791
2025-08-14,Falabella,Cardif,17840.17,17358.0,1154.24,17358.0,20412.0,17353.0,20823.0,46,6.4699
2025-08-14,Falabella,Consorcio,27972.7,27538.0,2650.41,27530.0,33035.0,21393.0,33035.0,46,9.475
2025-08-14,Falabella,Fid,22749.29,22110.0,1576.22,22093.0,26524.0,22093.0,26524.0,48,6.9287
2025-08-14,Falabella,Hdi,25988.06,25343.0,1707.18,25336.0,30403.0,25336.0,30403.0,47,6.5691
2025-08-14,Falabella,Sura,24113.26,22567.0,2081.51,22560.0,27072.0,22560.0,29050.0,47,8.6322
2025-08-14,Falabella,Zenit,30668.7,29784.0,2140.61,29776.0,35731.0,29776.0,35731.0,47,6.9798
2025-08-14,Falabella,Zurich,21824.11,21457.0,1244.52,20569.0,24683.0,20569.0,24683.0,47,5.7025
2025-08-14,Santander,Consorcio,51227.47,51232.0,6.97,51217.0,51232.0,51217.0,51232.0,43,0.0136
2025-08-14,Santander,Fid,42901.37,42905.0,5.58,42893.0,42905.0,42893.0,42905.0,43,0.013
2025-08-14,Santander,Hdi,38503.75,38507.0,5.08,38496.0,38507.0,38496.0,38507.0,44,0.0132
2025-08-14,Santander,Mapfre,37870.75,37874.0,5.08,37863.0,37874.0,37863.0,37874.0,44,0.0134
2025-08-14,Santander,REALE,37305.75,37309.0,5.08,37298.0,37309.0,37298.0,37309.0,44,0.0136
2025-08-14,Santander,Sura,25582.64,25585.0,3.69,25577.0,25585.0,25577.0,25585.0,44,0.0144
2025-08-14,Santander,ZURICH,32846.14,32849.0,4.57,32839.0,32849.0,32839.0,32849.0,42,0.0139
2025-08-14,Santander,Zenit,32546.34,32549.0,4.15,32540.0,32549.0,32540.0,32549.0,44,0.0128
2025-08-15,Falabella,Bci,42628.19,38888.0,7699.91,32397.0,52954.0,32397.0,52954.0,48,18.063
2025-08-15,Falabella,Cardif,20656.38,20424.0,1707.1,17358.0,22508.0,17015.0,22508.0,48,8.2643
2025-08-15,Falabella,Consorcio,24402.11,21393.0,5971.02,21393.0,34934.0,21393.0,34934.0,9,24.4693
2025-08-15,Falabella,Fid,31705.76,26520.0,8901.94,22093.0,44199.0,22093.0,44199.0,46,28.0767
2025-08-15,Falabella,Hdi,34270.98,30420.0,7299.39,25343.0,44199.0,25343.0,44199.0,48,21.299
2025-08-15,Falabella,Sura,31825.07,27088.0,7773.48,23471.2,43774.0,22567.0,47695.0,43,24.4256
2025-08-15,Falabella,Zenit,40265.46,35752.0,8561.87,29784.0,51909.0,29784.0,51909.0,48,21.2636
2025-08-15,Falabella,Zurich,28617.96,25755.0,5629.63,21457.0,36228.0,21457.0,36228.0,48,19.6717
2025-08-15,Santander,Consorcio,51244.14,51247.0,5.96,51232.0,51247.0,51232.0,51247.0,42,0.0116
2025-08-15,Santander,Fid,42914.98,42918.0,5.56,42905.0,42918.0,42905.0,42918.0,43,0.013
2025-08-15,Santander,Hdi,38515.0,38518.0,4.96,38507.0,38518.0,38507.0,38518.0,44,0.0129
2025-08-15,Santander,Mapfre,37881.96,37885.0,4.97,37874.0,37885.0,37874.0,37885.0,47,0.0131
2025-08-15,Santander,REALE,37313.19,37309.0,5.47,37309.0,37320.0,37309.0,37320.0,21,0.0147
2025-08-15,Santander,Sura,25590.1,25592.0,3.14,25585.0,25592.0,25585.0,25592.0,48,0.0123
2025-08-15,Santander,ZURICH,32855.65,32858.0,4.0,32849.0,32858.0,32849.0,32858.0,46,0.0122
